California Department of Finance,,,,,,,,,,,,,,,,,,,,Census 2010,,
Demographic Research Unit,,,,,,,,,,,,,,,,,,,,Demographic Profile Summary File,,
State Census Data Center,,,,,,,,,,,,,,,,,,,,Generated on 8-17-2012,,
Phone:  916-323-4086,,,,,,,,,,,,,,,,,,,,,,
"Table 3a: Race Detail (Hispanic Inclusive),  April 1, 2010",,,,,,,,,,,,,,,,,,,,,,
School Districts in California,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
  Geography,Total Population,Total Population of One Race,,,,Asian,,,,,,,,Native Hawaiian and Other Pacific Islander (NHOPI),,,,,,Total Population of Two or More Races,,
Mulberry Elementary School District,146,142,90,0,0,0,0,0,0,0,0,0,0,13,0,1,4,8,39,4,,9500626430
Mupu Elementary School District,909,868,717,7,10,11,1,1,1,5,1,2,0,0,0,0,0,0,123,41,,9500626460
Muroc Joint Unified School District,"5,613","5,266","4,291",389,93,168,11,11,85,15,20,5,21,15,3,8,2,2,310,347,,9700626490
Murrieta Valley Unified School District,"104,527","98,298","73,802","5,337",739,"9,621",491,726,"4,985",414,754,"1,030","1,221",393,82,173,74,64,"8,406","6,229",,9700600029
Napa Valley Unified School District,"115,531","110,846","81,304","2,430",921,"8,595",628,776,"5,615",435,268,290,583,340,69,159,35,77,"17,256","4,685",,9700626640
National Elementary School District,"57,586","54,835","24,498","2,839",610,"10,446",62,161,"9,534",117,66,121,385,497,31,214,184,68,"15,945","2,751",,9500626670
Natomas Unified School District,"71,091","65,313","31,422","11,140",593,"14,285","3,864","2,180","4,233",416,373,826,"2,393",738,47,91,151,449,"7,135","5,778",,9700600036
Needles Unified School District,"7,087","6,655","5,383",125,658,40,8,9,6,1,11,2,3,10,5,1,0,4,439,432,,9700626760
Nevada City Elementary School District,"15,411","14,976","14,404",91,122,177,13,52,28,45,13,4,22,23,10,1,0,12,159,435,,9500626820
Nevada Joint Union High School District,"81,863","79,101","75,552",325,942,943,107,250,168,193,49,29,147,94,29,17,3,45,"1,245","2,762",,9600626880
New Haven Unified School District,"74,171","69,208","18,609","4,760",367,"35,952","8,032","7,718","14,272",398,656,"2,605","2,271",927,107,97,147,576,"8,593","4,963",,9700626910
New Hope Elementary School District,"1,558","1,504",827,53,5,75,0,0,66,1,0,7,1,6,1,0,5,0,538,54,,9500626970
New Jerusalem Elementary School District,"1,840","1,773","1,476",9,22,26,2,4,11,4,1,4,0,7,2,0,5,0,233,67,,9500627030
Newark Unified School District,"42,573","39,774","17,566","2,002",279,"11,571","2,500","2,612","4,054",252,261,980,912,621,31,56,119,415,"7,735","2,799",,9700627060
Newcastle Elementary School District,"2,496","2,419","2,268",14,30,37,0,11,7,13,6,0,0,2,0,0,1,1,68,77,,9500627120
Newhall Elementary School District,"74,056","70,935","51,207","2,055",414,"8,051",860,689,"2,478",489,"2,472",220,843,104,23,29,5,47,"9,104","3,121",,9500627180
Newman-Crows Landing Unified School District,"13,180","12,495","8,771",328,123,274,47,32,124,11,13,14,33,46,27,6,4,9,"2,953",685,,9700627200
Newport-Mesa Unified School District,"195,345","187,710","149,965","2,249",908,"14,540","1,296","2,881","2,432","2,144","1,563","2,895","1,329",645,193,62,108,282,"19,403","7,635",,9700627240
Nicasio Elementary School District,704,693,628,5,1,14,2,3,1,5,2,1,0,1,1,0,0,0,44,11,,9500627300
Norris Elementary School District,"23,935","22,871","18,307",425,200,"1,715",334,118,862,40,104,155,102,36,8,8,3,17,"2,188","1,064",,9500627450
North County Joint Union Elementary School District,"3,407","3,283","2,391",15,48,70,4,10,34,7,4,8,3,5,5,0,0,0,754,124,,9500627480
North Cow Creek Elementary School District,"1,583","1,533","1,485",8,16,9,0,4,2,0,3,0,0,0,0,0,0,0,15,50,,9500627510
North Monterey County Unified School District,"26,701","25,171","16,251",301,321,"1,115",56,93,558,175,91,84,58,82,23,14,18,27,"7,101","1,530",,9700627590
Northern Humboldt Union High School District,"44,379","41,881","37,560",526,"1,612",791,49,237,117,136,68,38,146,69,34,10,13,12,"1,323","2,498",,9600603030
Norwalk-La Mirada Unified School District,"125,084","119,602","66,289","4,447","1,381","17,373","1,090","1,311","6,605",522,"5,310",878,"1,657",497,69,79,184,165,"29,615","5,482",,9700627690
Novato Unified School District,"58,596","55,886","45,416","1,470",308,"3,680",614,"1,146",634,338,252,309,387,124,36,16,15,57,"4,888","2,710",,9700627720
Nuestro Elementary School District,310,294,186,14,2,56,50,1,0,1,0,0,4,0,0,0,0,0,36,16,,9500627750
Nuview Union Elementary School District,"9,846","9,418","6,217",143,150,86,10,7,40,10,3,3,13,32,3,12,6,11,"2,790",428,,9500627780
Oak Grove Elementary School District,"104,443","98,059","48,848","4,453","1,073","26,118","3,978","3,101","4,346","1,009",886,"10,891","1,907",525,64,91,175,195,"17,042","6,384",,9500627810
Oak Grove Union Elementary School District,"4,947","4,782","4,313",28,62,68,10,16,17,14,4,1,6,8,2,0,0,6,303,165,,9500627840
Oak Park Unified School District,"13,870","13,431","11,520",143,32,"1,564",468,542,94,112,192,64,92,9,7,1,1,0,163,439,,9700627850
Oak Run Elementary School District,600,586,546,6,15,1,0,0,0,1,0,0,0,0,0,0,0,0,18,14,,9500627870
Oak Valley Union Elementary School District,"1,359","1,304",874,5,11,6,5,1,0,0,0,0,0,0,0,0,0,0,408,55,,9500627900
Oak View Union Elementary School District,"2,839","2,731","2,281",10,26,70,16,22,16,7,0,0,9,8,1,0,3,4,336,108,,9500627930
Oakdale Joint Unified School District,"28,619","27,484","23,444",191,289,566,98,104,232,35,20,23,54,64,27,6,4,27,"2,930","1,135",,9700600062
Oakland Unified School District,"390,785","368,901","134,939","109,497","3,040","65,819","2,114","34,090","6,070","2,032","2,446","8,766","10,301","2,222",168,142,238,"1,674","53,384","21,884",,9700628050
Oakley Union Elementary School District,"33,213","30,964","21,734","2,189",308,"2,020",193,197,"1,181",50,36,105,258,130,30,29,29,42,"4,583","2,249",,9500628080
Ocean View Elementary School District (Orange County),"91,671","87,286","64,194","1,069",511,"12,744",474,"1,676","1,314","1,498",898,"5,941",943,336,64,52,122,98,"8,432","4,385",,9500628140
Ocean View Elementary School District (Ventura County),"17,510","16,720","8,459",578,259,"1,439",36,38,"1,137",60,34,86,48,101,16,32,43,10,"5,884",790,,9500628170
Oceanside Unified School District,"134,638","126,278","85,699","7,563","1,320","8,054",294,663,"4,256",871,431,761,778,"1,753",234,270,"1,015",234,"21,889","8,360",,9700628250
Ojai Unified School District,"21,739","21,071","18,774",132,189,395,36,61,104,72,66,13,43,7,0,2,2,3,"1,574",668,,9700628270
Old Adobe Union Elementary School District,"25,770","24,700","20,269",426,166,"1,407",267,369,291,103,72,93,212,56,16,10,8,22,"2,376","1,070",,9500628320
Ontario-Montclair Elementary School District,"168,063","160,459","86,889","8,336","1,842","8,531",411,"1,353","2,347",214,367,"2,387","1,452",485,58,49,114,264,"54,376","7,604",,9500628470
Ophir Elementary School District,"1,755","1,719","1,635",5,13,43,4,4,5,22,2,4,2,0,0,0,0,0,23,36,,9500628500
Orange Center Elementary School District,"1,754","1,704",742,81,22,248,28,6,3,2,0,0,209,1,1,0,0,0,610,50,,9500628530
Orange Unified School District,"218,176","209,363","144,988","3,650","1,491","28,187","3,268","4,289","4,637","2,031","3,329","7,738","2,895",605,121,80,262,142,"30,442","8,813",,9700628650
Orchard Elementary School District,"17,589","16,938","4,250",591,63,"11,002","2,786","3,290","1,205",363,477,"2,285",596,23,7,6,6,4,"1,009",651,,9500628680
Orcutt Union Elementary School District,"34,142","32,602","27,705",478,390,"1,430",99,133,541,217,281,54,105,67,32,12,9,14,"2,532","1,540",,9500628710
Orick Elementary School District,380,359,311,0,39,0,0,0,0,0,0,0,0,3,3,0,0,0,6,21,,9500628830
Orinda Union Elementary School District,"17,693","16,910","14,569",148,21,"2,027",184,"1,133",119,170,158,58,205,24,1,2,1,20,121,783,,9500628860
Orland Joint Unified School District,"13,187","12,702","9,472",90,211,268,45,19,40,13,1,7,143,9,4,0,0,5,"2,652",485,,9700600045
Oro Grande Elementary School District,"1,104","1,044",726,24,33,11,1,1,4,4,1,0,0,0,0,0,0,0,250,60,,9500628950
Oroville City Elementary School District,"22,089","20,889","17,332",663,808,"1,349",38,42,76,21,8,17,"1,147",51,21,6,4,20,686,"1,200",,9500629100
Oroville Union High School District,"53,032","49,968","40,238","1,176","2,125","3,922",137,82,223,46,19,50,"3,365",147,56,14,48,29,"2,360","3,064",,9600629130
Outside Creek Elementary School District,722,700,491,0,4,6,0,3,3,0,0,0,0,0,0,0,0,0,199,22,,9500629160
Owens Valley Unified School District,677,642,500,6,99,8,1,2,0,2,0,0,3,1,1,0,0,0,28,35,,9700629190
Oxnard Elementary School District,"125,982","120,263","63,969","3,971","1,777","6,916",319,398,"4,250",573,281,675,420,368,63,87,176,42,"43,262","5,719",,9500629220
Oxnard Union High School District,"316,973","302,134","179,156","8,683","4,057","23,574","1,529","2,000","13,786","1,968","1,211","1,744","1,336",982,165,271,401,145,"85,682","14,839",,9600629270
Pacheco Union Elementary School District,"8,644","8,376","7,751",33,220,182,36,16,21,17,19,8,65,6,3,1,2,0,184,268,,9500629280
Pacific Elementary School District,834,784,646,12,10,18,0,2,13,2,1,0,0,1,0,0,0,1,97,50,,9500629340
Pacific Grove Unified School District,"17,555","16,845","14,975",216,83,"1,044",55,201,165,185,299,22,117,50,3,10,5,32,477,710,,9700629370
Pacific Unified School District,443,434,416,0,2,7,2,0,2,0,2,0,1,1,1,0,0,0,8,9,,9700600031
Pacific Union Elementary School District (Fresno County),"2,997","2,903","1,524",61,165,235,157,5,6,31,1,0,35,0,0,0,0,0,918,94,,9500629400
Pacific Union Elementary School District (Humboldt County),"4,771","4,495","4,043",66,143,80,4,26,15,15,5,2,13,3,2,1,0,0,160,276,,9500629430
Pajaro Valley Joint Unified School District,"114,178","109,073","66,322",862,"1,450","3,621",258,511,"1,527",896,143,88,198,113,44,21,23,25,"36,705","5,105",,9700629490
Palermo Union Elementary School District,"8,137","7,623","5,759",125,463,393,17,12,29,8,1,3,323,7,1,1,5,0,876,514,,9500629540
Palm Springs Unified School District,"164,720","158,715","114,370","6,315","1,756","6,215",426,527,"3,736",290,287,339,610,261,73,61,66,61,"29,798","6,005",,9700629550
Palmdale Elementary School District,"132,050","125,001","61,099","20,175","1,149","4,856",417,302,"2,638",194,377,313,615,245,61,59,26,99,"37,477","7,049",,9500629580
Palo Alto Unified School District,"80,606","76,761","50,879","1,848",202,"21,977","3,646","11,789",756,"1,482","2,381",620,"1,303",170,27,17,25,101,"1,685","3,845",,9700629610
Palo Verde Unified School District,"24,294","23,513","14,680","3,326",275,327,42,24,153,13,16,29,50,37,17,6,9,5,"4,868",781,,9700629640
Palo Verde Union Elementary School District,"2,699","2,595","1,610",62,59,6,1,0,1,0,0,0,4,0,0,0,0,0,858,104,,9500629670
Palos Verdes Peninsula Unified School District,"60,797","58,117","39,860","1,172",109,"16,129","1,162","5,020","1,055","3,761","3,796",262,"1,073",60,12,11,9,28,787,"2,680",,9700629700
Panama-Buena Vista Union Elementary School District,"119,146","113,271","68,487","10,009","1,436","10,753","4,228",974,"2,878",294,781,517,"1,081",175,57,31,38,49,"22,411","5,875",,9500606390
Panoche Elementary School District,124,120,92,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,,9500629770
Paradise Elementary School District,889,849,692,8,5,24,2,3,0,0,0,0,19,3,0,3,0,0,117,40,,9500629790
Paradise Unified School District,"39,364","37,893","36,224",163,467,434,32,88,105,64,70,20,55,47,32,5,2,8,558,"1,471",,9700629820
Paramount Unified School District,"77,645","74,184","32,117","11,068",612,"3,839",243,212,"1,745",110,188,234,"1,107",615,29,52,463,71,"25,933","3,461",,9700629850
Parlier Unified School District,"15,555","15,027","7,847",86,191,169,45,4,35,70,0,0,15,10,0,1,0,9,"6,724",528,,9700629910
Pasadena Unified School District,"202,378","192,227","114,289","25,352","1,229","25,531","2,048","9,371","4,832","2,781","3,136",900,"2,463",223,69,31,23,100,"25,603","10,151",,9700629940
Paso Robles Joint Unified School District,"40,237","38,729","32,427",690,421,689,56,71,221,67,100,66,108,61,11,6,10,34,"4,441","1,508",,9700600048
Patterson Joint Unified School District,"25,505","24,128","13,114","1,362",266,"1,137",194,115,537,32,32,82,145,301,39,18,119,125,"7,948","1,377",,9700630030
Peninsula Union Elementary School District,472,426,375,2,11,1,0,0,0,0,0,0,1,0,0,0,0,0,37,46,,9500630090
Perris Elementary School District,"47,013","44,840","21,009","4,742",477,934,78,70,380,38,39,164,165,139,10,21,72,36,"17,539","2,173",,9500630180
Perris Union High School District,"159,462","151,593","97,669","10,365","1,511","6,409",269,397,"3,457",317,238,731,"1,000",564,71,145,193,155,"35,075","7,869",,9600630210
Petaluma City Elementary School District,"30,549","29,324","25,402",327,212,740,96,198,174,103,36,29,104,69,13,10,8,38,"2,574","1,225",,9500630230
Petaluma Joint Union High School District,"73,384","70,460","60,000",961,465,"2,883",483,820,593,308,139,162,378,162,38,23,19,82,"5,989","2,924",,9600630250
Piedmont City Unified School District,"10,667","10,113","7,917",144,6,"1,939",107,"1,283",85,150,142,52,120,13,3,4,3,3,94,554,,9700630330
Pierce Joint Unified School District,"6,804","6,516","4,268",137,109,62,22,2,15,6,7,2,8,16,4,2,4,6,"1,924",288,,9700630360
Pine Ridge Elementary School District,855,834,803,4,18,4,0,2,1,1,0,0,0,0,0,0,0,0,5,21,,9500630390
Piner-Olivet Union Elementary School District,"15,893","15,092","11,854",406,240,926,99,184,178,47,20,129,269,59,13,0,29,17,"1,607",801,,9500630450
Pioneer Union Elementary School District (El Dorado County),"5,393","5,131","4,856",27,84,54,10,11,11,10,0,7,5,6,4,1,0,1,104,262,,9500630480
Pioneer Union Elementary School District (Kings County),"10,921","10,339","7,837",417,107,872,104,86,506,41,17,27,91,10,6,2,0,2,"1,096",582,,9500630510
Pioneer Union Elementary School District (Butte County),"1,517","1,423","1,332",8,53,13,2,0,9,1,0,0,1,4,2,0,0,2,13,94,,9500630520
Pittsburg Unified School District,"55,814","51,726","21,155","10,194",500,"6,692",795,410,"4,415",86,52,425,509,565,31,40,90,404,"12,620","4,088",,9700630600
Pixley Union Elementary School District,"5,199","5,014","2,274",136,56,29,18,0,10,1,0,0,0,0,0,0,0,0,"2,519",185,,9500630630
Placentia-Yorba Linda Unified School District,"154,626","148,162","103,881","2,998",909,"21,661","3,063","4,484","3,774","1,585","3,294","3,229","2,232",259,66,38,78,77,"18,454","6,464",,9700630660
Placer Hills Union Elementary School District,"13,646","13,248","12,758",66,119,148,6,29,48,34,20,1,10,21,8,5,3,5,136,398,,9500630720
Placer Union High School District,"85,905","82,880","77,507",512,985,"1,569",168,289,374,449,107,46,136,95,38,19,8,30,"2,212","3,025",,9600630750
Placerville Union Elementary School District,"15,279","14,656","13,341",93,225,152,30,26,41,28,3,2,22,26,10,10,2,4,819,623,,9500630780
Plainsburg Union Elementary School District,444,419,313,0,3,8,0,0,0,3,0,0,5,0,0,0,0,0,95,25,,9500630810
Planada Elementary School District,"5,517","5,416","2,259",26,24,64,15,5,2,5,0,0,37,1,1,0,0,0,"3,042",101,,9500630840
Plaza Elementary School District,347,323,271,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,49,24,,9500630870
Pleasant Grove Joint Union Elementary School District,879,848,721,4,10,39,18,1,1,1,0,1,17,1,0,0,0,1,73,31,,9500630900
Pleasant Ridge Union Elementary School District,"20,577","19,972","19,223",79,210,195,9,56,48,46,8,5,23,19,5,2,0,12,246,605,,9500630930
Pleasant Valley Elementary School District (Nevada County),"7,793","7,586","7,309",24,84,88,3,12,21,25,8,2,17,14,0,8,1,5,67,207,,9500630960
Pleasant Valley Elementary School District (Ventura County),"74,314","70,837","56,562","1,364",459,"7,045",851,"1,158","2,516",890,652,445,533,135,27,48,27,33,"5,272","3,477",,9500630990
Pleasant Valley Joint Union Elementary School District,887,859,786,10,6,4,0,2,0,1,1,0,0,5,1,0,0,4,48,28,,9500631020
Pleasant View Elementary School District,"2,509","2,480","1,825",3,15,340,10,1,319,0,0,0,10,0,0,0,0,0,297,29,,9500631050
Pleasanton Unified School District,"70,714","67,366","47,545","1,194",230,"16,257","5,175","5,642","1,524",618,"1,876",429,993,134,32,29,11,62,"2,006","3,348",,9700600020
Plum Valley Elementary School District,441,431,375,24,8,4,0,4,0,0,0,0,0,0,0,0,0,0,20,10,,9500631140
Plumas Elementary School District,"3,719","3,391","2,423",229,53,335,58,28,101,5,9,16,118,34,5,16,4,9,317,328,,9500631180
Plumas Unified School District,"19,367","18,666","17,205",190,532,132,16,27,38,15,12,7,17,18,9,2,3,4,589,701,,9700631170
Point Arena Joint Union High School District,"5,611","5,417","4,602",27,272,35,3,8,15,7,1,0,1,11,3,6,1,1,470,194,,9600631230
Pollock Pines Elementary School District,"8,777","8,516","8,085",21,165,71,5,13,18,24,5,3,3,4,1,0,1,2,170,261,,9500631290
Pomona Unified School District,"166,671","159,136","78,188","11,849","1,802","20,639","1,240","6,747","4,813",718,"2,156","2,113","2,852",308,72,41,128,67,"46,350","7,535",,9700631320
Pond Union Elementary School District,692,682,290,11,11,12,2,0,6,1,0,0,3,0,0,0,0,0,358,10,,9500631350
Pope Valley Union Elementary School District,791,749,656,1,9,9,1,3,3,1,0,1,0,5,4,0,0,1,69,42,,9500631380
Porterville Unified (9-12) School District,"47,072","45,359","30,538",339,688,"2,028",165,90,"1,306",41,27,27,372,81,10,5,11,55,"11,685","1,713",,9600606107
Porterville Unified School District,"50,081","47,804","28,665",594,"1,879","1,560",186,78,527,31,22,18,698,70,17,0,15,38,"15,036","2,277",,9700600064
Portola Valley Elementary School District,"6,479","6,301","5,859",24,9,347,72,128,27,71,16,12,21,4,0,0,0,4,58,178,,9500631470
Potter Valley Community Unified School District,"2,074","2,013","1,731",9,62,9,0,1,0,0,2,4,2,1,0,0,0,1,201,61,,9700631400
Poway Unified School District,"188,229","178,561","125,026","4,242",652,"42,027","6,128","9,662","13,471","1,902","3,653","4,471","2,740",474,119,193,60,102,"6,140","9,668",,9700631530
Princeton Joint Unified School District,"1,095","1,081",841,5,51,4,0,0,2,1,0,0,1,1,1,0,0,0,179,14,,9700631620
Raisin City Elementary School District,"1,972","1,926",912,14,64,31,24,2,1,3,0,0,1,0,0,0,0,0,905,46,,9500631680
Ramona City Unified School District,"35,282","34,043","29,258",261,349,519,33,92,215,70,13,25,71,113,33,43,22,15,"3,543","1,239",,9700631710
Rancho Santa Fe Elementary School District,"5,922","5,779","5,393",35,8,220,46,70,17,30,28,14,15,4,3,1,0,0,119,143,,9500631740
Ravendale-Termo Elementary School District,166,153,130,2,2,1,0,1,0,0,0,0,0,1,0,0,0,1,17,13,,9500631830
Ravenswood City Elementary School District,"34,992","33,329","10,357","6,001",221,"1,283",274,407,306,71,75,93,57,"2,474",20,4,390,"2,060","12,993","1,663",,9500631860
Raymond-Knowles Union Elementary School District,"1,267","1,210","1,098",25,34,11,0,6,4,1,0,0,0,0,0,0,0,0,42,57,,9500631920
Ready Springs Union Elementary School District,"5,097","4,888","4,644",19,82,66,8,19,12,9,3,1,14,13,4,2,1,6,64,209,,9500631950
Red Bluff Joint Union High School District,"42,667","40,795","36,028",260,"1,119",448,77,72,127,42,30,29,71,48,13,11,10,14,"2,892","1,872",,9600632010
Red Bluff Union Elementary School District,"20,337","19,360","16,906",139,560,253,40,39,69,24,16,22,43,22,5,1,10,6,"1,480",977,,9500631980
Redding Elementary School District,"34,977","33,320","30,343",467,898,814,139,106,167,69,60,24,249,60,22,13,8,17,738,"1,657",,9500632040
Redlands Unified School District,"124,416","118,030","79,072","7,553","1,017","15,548","1,996","1,858","4,627",489,"1,552","1,195","3,831",465,107,44,210,104,"14,375","6,386",,9700632070
Redondo Beach Unified School District,"66,753","62,880","49,806","1,855",291,"8,004",736,"1,768","1,159","1,836","1,020",599,886,199,56,48,52,43,"2,725","3,873",,9700600032
Redwood City Elementary School District,"94,268","89,400","58,794","2,051",674,"5,879",918,"1,667","1,544",559,306,357,528,"1,050",36,61,84,869,"20,952","4,868",,9500632130
Reed Union Elementary School District,"13,703","13,184","12,204",102,17,725,106,298,57,102,72,17,73,17,4,0,1,12,119,519,,9500632160
Reeds Creek Elementary School District,"1,281","1,240","1,153",9,28,26,2,2,1,1,2,5,13,0,0,0,0,0,24,41,,9500632250
Reef-Sunset Unified School District,"17,222","16,800","6,637","1,631",196,109,24,11,32,6,4,5,27,9,0,0,1,8,"8,218",422,,9700632270
Rescue Union Elementary School District,"34,326","32,977","30,033",314,260,"1,661",304,381,356,156,168,104,192,59,30,10,4,15,650,"1,349",,9500632310
Rialto Unified School District,"119,560","113,927","52,553","18,470","1,341","3,052",219,232,"1,116",128,135,389,833,504,91,38,205,170,"38,007","5,633",,9700632370
Richfield Elementary School District,"1,193","1,161",944,7,24,1,0,1,0,0,0,0,0,1,0,0,1,0,184,32,,9500632400
Richgrove Elementary School District,"3,249","3,143","1,235",20,38,145,3,2,138,0,0,1,1,7,0,0,6,1,"1,698",106,,9500632430
Richland-Lerdo Union Elementary School District,"19,085","18,350","9,285",239,241,123,39,7,33,4,4,8,28,22,3,12,4,3,"8,440",735,,9500621450
Richmond Elementary School District,"1,155","1,130","1,084",6,10,14,0,2,9,0,2,1,0,2,0,0,2,0,14,25,,9500632520
Rim of the World Unified School District,"28,884","27,494","25,076",231,280,310,24,49,91,58,38,19,31,61,25,18,15,3,"1,536","1,390",,9700632610
Rincon Valley Union Elementary School District,"40,297","38,628","33,786",622,412,"1,607",226,444,311,139,185,84,218,236,24,17,28,167,"1,965","1,669",,9500632640
Rio Bravo-Greeley Union Elementary School District,"4,787","4,613","3,602",68,69,89,21,9,38,2,8,1,10,7,0,7,0,0,778,174,,9500632710
Rio Dell Elementary School District,"3,453","3,281","2,971",14,125,27,7,8,8,0,0,0,4,3,1,0,1,1,141,172,,9500632730
Rio Elementary School District,"36,080","34,166","17,961","1,039",589,"2,939",186,198,"1,798",141,147,316,153,118,13,47,42,16,"11,520","1,914",,9500632760
Ripon Unified School District,"17,361","16,578","13,806",243,140,629,154,63,194,26,40,68,84,41,14,20,0,7,"1,719",783,,9700632880
River Delta Joint Unified School District,"15,215","14,587","11,481",464,144,673,28,134,319,115,14,14,49,44,17,13,4,10,"1,781",628,,9700633110
Riverbank Unified School District,"14,825","14,131","9,662",231,200,167,30,13,60,8,15,5,36,37,8,7,3,19,"3,834",694,,9700600061
Riverdale Joint Unified School District,"6,108","5,826","3,407",100,97,50,15,4,9,10,0,0,12,8,5,3,0,0,"2,164",282,,9700600040
Riverside Unified School District,"245,292","232,649","144,540","18,766","2,537","19,937","2,132","4,832","4,350",894,"3,038","2,256","2,435",867,100,181,307,279,"46,002","12,643",,9700633150
Roberts Ferry Union Elementary School District,377,366,305,0,6,11,2,1,1,0,0,0,7,0,0,0,0,0,44,11,,9500633210
Robla Elementary School District,"19,461","18,136","8,293","2,742",254,"3,152",457,71,418,32,20,41,"2,113",466,25,10,96,335,"3,229","1,325",,9500633240
Rockford Elementary School District,"1,291","1,245",902,0,24,31,5,2,24,0,0,0,0,1,0,0,0,1,287,46,,9500633270
Rocklin Unified School District,"56,689","53,847","46,806",852,408,"4,101",836,657,"1,057",409,333,328,481,150,30,36,22,62,"1,530","2,842",,9700600013
Rohnerville Elementary School District,"6,053","5,800","5,060",22,250,55,4,12,21,11,4,0,3,5,1,0,4,0,408,253,,9500633330
Romoland Elementary School District,"24,195","22,959","14,540","1,064",214,773,31,77,464,46,22,58,75,110,15,12,43,40,"6,258","1,236",,9500633390
Rosedale Union Elementary School District,"44,186","42,363","33,910","1,073",508,"2,405",477,230,984,63,196,185,270,72,28,12,9,23,"4,395","1,823",,9500633480
Roseland Elementary School District,"12,077","11,321","6,112",280,318,578,47,55,93,18,8,89,268,27,11,2,5,9,"4,006",756,,9500633510
Rosemead Elementary School District,"27,178","26,531","6,399",165,232,"15,899",154,"8,991",597,232,72,"4,006","1,847",20,5,5,6,4,"3,816",647,,9500633570
Roseville City Elementary School District,"82,163","78,069","64,565","1,597",661,"7,037","1,557",874,"2,639",422,397,533,615,237,66,67,20,84,"3,972","4,094",,9500633600
Roseville Joint Union High School District,"161,902","153,713","126,510","4,219","1,196","14,751","3,991","1,739","4,716",882,775,"1,276","1,372",588,121,155,40,272,"6,449","8,189",,9600633630
Ross Elementary School District,"2,711","2,633","2,559",6,2,44,0,9,11,10,6,3,5,3,1,1,0,1,19,78,,9500633660
Ross Valley Elementary School District,"23,470","22,621","21,092",235,92,796,81,223,84,129,173,32,74,37,8,0,2,27,369,849,,9500600006
Round Valley Joint Elementary School District,"1,068","1,032",892,38,37,14,0,1,1,5,2,2,3,0,0,0,0,0,51,36,,9500633690
Round Valley Unified School District,"2,606","2,404","1,230",32,"1,030",18,1,5,4,1,0,0,7,0,0,0,0,0,94,202,,9700633720
Rowland Unified School District,"108,966","105,127","32,081","2,943",619,"47,524",905,"24,547","12,099",960,"4,173","1,520","3,320",146,32,14,76,24,"21,814","3,839",,9700633750
Sacramento City Unified School District,"323,353","301,087","160,921","41,118","3,918","53,995","2,042","16,429","5,444","5,353","1,218","4,689","18,820","3,609",232,174,261,"2,942","37,526","22,266",,9700633840
Saddleback Valley Unified School District,"205,432","196,333","153,948","3,170",902,"22,752","2,824","3,950","6,437","2,026","2,220","3,053","2,242",433,139,103,83,108,"15,128","9,099",,9700633860
Salida Union Elementary School District,"19,718","18,471","12,310",712,162,"1,073",285,94,365,43,21,73,192,164,17,21,19,107,"4,050","1,247",,9500633900
Salinas City Elementary School District,"77,623","73,415","38,386","1,709","1,052","4,928",241,471,"3,093",469,246,171,237,274,59,84,51,80,"27,066","4,208",,9500633930
Salinas Union High School District,"171,122","162,553","83,826","3,191","2,073","10,708",706,996,"6,467",933,654,425,527,510,95,167,77,171,"62,245","8,569",,9600633980
San Antonio Union Elementary School District,"1,838","1,758","1,412",72,40,59,1,4,22,12,6,4,10,4,0,2,0,2,171,80,,9500634050
San Ardo Union Elementary School District,748,717,369,8,3,6,2,0,1,0,2,0,1,0,0,0,0,0,331,31,,9500634080
San Benito High School District,"49,378","46,988","31,258",431,791,"1,278",110,141,636,151,66,68,106,82,25,24,7,26,"13,148","2,390",,9600634140
San Bernardino City Unified School District,"251,744","238,838","116,029","36,693","3,352","8,549",561,742,"2,111",356,424,"2,110","2,245",942,106,153,440,243,"73,273","12,906",,9700634170
San Bruno Park Elementary School District,"36,417","34,059","18,414",824,217,"9,025",711,"2,805","4,020",372,404,156,557,"1,173",38,19,218,898,"4,406","2,358",,9500634230
San Carlos Elementary School District,"26,444","25,081","20,912",210,63,"3,030",434,"1,297",460,312,150,85,292,71,12,4,8,47,795,"1,363",,9500634290
San Diego City Unified School District,"1,015,433","963,252","592,688","78,294","6,429","152,454","10,690","22,462","56,037","7,153","8,329","28,988","18,795","4,995",836,"1,863","1,418",878,"128,392","52,181",,9700634320
San Dieguito Union High School District,"165,839","159,881","135,174","1,074",545,"17,477","2,728","7,086","1,309","1,580","2,788",976,"1,010",177,68,46,9,54,"5,434","5,958",,9600634380
San Francisco Unified School District,"805,235","767,576","390,387","48,870","4,024","267,915","9,747","172,181","36,347","10,121","9,670","12,871","16,978","3,359",410,313,"1,988",648,"53,021","37,659",,9700634410
San Gabriel Unified School District,"41,795","40,485","12,041",502,212,"23,274",193,"15,897","1,150",795,379,"2,640","2,220",37,14,7,8,8,"4,419","1,310",,9700634425
San Jacinto Unified School District,"46,020","43,491","26,455","2,861","1,235","1,211",84,69,641,45,32,77,263,128,21,44,17,46,"11,601","2,529",,9700634440
